,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000134321,8183.913092691508,-6.287572222404855,0.16725711445522692,-37.59225574878596,0.0,0.0
ENSG00000135114,4278.352909577095,-5.2572969524258095,0.1466094562553663,-35.85919412502683,1.3222594331691856e-281,9.054171468625999e-278
ENSG00000162654,3284.4485673477616,-5.798102356737417,0.16896928152893959,-34.314535188127486,4.76398046031021e-258,2.174757080131611e-254
ENSG00000119917,10001.596183339829,-5.691260322761771,0.1662915204938312,-34.22459729672684,1.0415040461244045e-256,3.56584947791843e-253
ENSG00000183486,2772.155769013998,-5.33680095827601,0.156058643172815,-34.19740713986719,2.6423318638767784e-256,7.237346975158496e-253
ENSG00000177409,10091.353624929125,-4.866484228724509,0.14565435965506032,-33.41118137657775,9.433352166164098e-245,2.1531626319269553e-241
ENSG00000006210,1973.7982982051058,-5.316266251037253,0.16729157572982595,-31.778445673934975,1.2852245306172862e-221,2.5144499924005337e-218
ENSG00000132530,8524.528430469738,-4.324191195851004,0.1372116106568764,-31.514761579939925,5.453184759257191e-218,9.335170659753403e-215
ENSG00000125148,2436.053905550515,-4.797503717854558,0.15650571210766337,-30.653856995035813,2.3477174878048902e-206,3.572443443943108e-203
ENSG00000185745,8992.486669854554,-5.319805204974239,0.17420686013413972,-30.537288835112324,8.340556940696214e-205,1.1422392730283465e-201
ENSG00000078081,1727.3120051376895,-5.06238032028464,0.16712487683707275,-30.291004044956573,1.505931479382523e-201,1.8748846918312413e-198
ENSG00000111335,3909.288826559509,-4.484227976334083,0.15068051240483715,-29.75984023923541,1.2935435199041829e-194,1.4762565420906487e-191
ENSG00000138646,1483.175092296752,-4.879173620923601,0.17133320902980226,-28.477687708953738,2.21368020787077e-178,2.3320269574453997e-175
ENSG00000132274,1337.1960778542207,-6.656817437099378,0.23549888500040622,-28.266874542051,8.829943102374699e-176,8.63757648478725e-173
ENSG00000184979,2639.46843142613,-4.640860888669487,0.16643656572614796,-27.88366167267285,4.2107569548333165e-171,3.844421099762818e-168
ENSG00000157601,11408.887506878904,-3.8881716983143835,0.13951068791034454,-27.870063265784243,6.154662376790048e-171,5.2680063281337315e-168
ENSG00000117228,3356.681679544014,-4.5366044060516355,0.1629068501155785,-27.84784312527695,1.1439077116886586e-170,9.215185947985988e-168
ENSG00000181381,3502.7247967573994,-4.045936666766109,0.14634098478104274,-27.64732431464563,3.0053692218710577e-168,2.2865850829735633e-165
ENSG00000121858,9803.83154293114,-3.702747239821297,0.13575748690055528,-27.274718502513412,8.463215900265868e-164,6.100196934428477e-161
ENSG00000107201,4945.9126444743015,-3.7259245295402246,0.1371597720468652,-27.164849240687996,1.6908006333394808e-162,1.1577757336792093e-159
ENSG00000130589,8724.059435318035,-3.4832101691557735,0.12890440971980816,-27.021652530949254,8.228078321423397e-161,5.365882505328258e-158
ENSG00000134326,1533.297307970608,-4.836143797783026,0.1793093227815799,-26.970955680168537,3.239658097602485e-160,2.016687165757547e-157
ENSG00000089127,6002.714149324449,-3.517878899489102,0.1315060174454963,-26.7507066811381,1.211623028719661e-157,7.2144249470938074e-155
ENSG00000136244,1772.4630416570824,-4.292563714792038,0.16101165800669826,-26.659955980413933,1.3720308422211925e-156,7.82915099342468e-154
ENSG00000010030,1044.994444037956,-6.167183725550839,0.2319120811773287,-26.59276607860363,8.230369905547473e-156,4.508596634258905e-153
ENSG00000133106,1423.3231890693114,-4.5649429354413105,0.17386387554984198,-26.255844815403687,6.1295129636914875e-152,3.2286030783751897e-149
